phenotype	endpoint
Transient acantholytic dermatosis [Grover]	L12_GROVER
Other and unspecified granulomatous disorders of skin and subcutaneous tissue	L12_GRANULOMASKINNAS
Foreign body granuloma of skin and subcutaneous tissue	L12_FOREIGNBODYGRANULOMA
Other and unspecified follicular disorders	L12_FOLLICULARNAS
Factitial dermatitis	L12_FACTITIALDERMAT
Erythema intertrigo	L12_ERYT_INTERTRIG
Erythema annulare centrifugum	L12_ERYTH_ANNULCENTRIFUG
Erythrasma	L12_ERYTHRASMA
Erythema in diseases classified elsewhere	L12_ERYTHINOTH
Other erythematous conditions	L12_ERYTHEMATOUSOTH
Erythema multiforme	L12_ERYTHEMAMULTIF
Toxic erythema	L12_ERTYTH_TOXIC
Eccrine sweat disorders	L12_ECCRINESWEAT
Dyshidrosis [pompholyx]	L12_DYSHIDROSIS
Diaper [napkin] dermatitis	L12_DIAPER
Cutis laxa senilis	L12_CUTLAXSEN
Chloasma	L12_CHLOASMA
Calcinosis cutis	L12_CALCINOSISCUTIS
Other and unspecified atrophic disorders of skin	L12_ATROPHICSKINNAS
Apocrine sweat disorders, other sweat gland disorders	L12_APOCRINESWEAT
Androgenic alopecia	L12_ALOPECANDRO
Acrodermatitis chronica atrophicans	L12_ACRODERMATITIS
Acquired keratosis [keratoderma] palmaris et plantaris	L12_ACQKERAT
Acne varioliformis	L12_ACNE_VARIOLIFORMIS
Other  and unspecified acne	L12_ACNE_NAS
Acne keloid	L12_ACNEKELOID
Other acantholytic disorders	L12_ACANTHOLYTIC
Acanthosis nigricans	L12_ACANTHNIGRICANS
Tic and related disorders (more control exclusions)	KRA_PSY_TIC_EXMORE
Tic and related disorders	KRA_PSY_TIC
Speech and linguistic disorders (more control exclusions)	KRA_PSY_SPEELING_EXMORE
Nonorganic sleeping disorders (more control exclusions)	KRA_PSY_SLEEP_NONORG_EXMORE
Mental and behavioural disorders of puerperium, not classified elsewhere (more control exclusions)	KRA_PSY_PUERPER_EXMORE
Hyperkinetic disorders (more control exclusions)	KRA_PSY_HYPERKIN_EXMORE
Wide developmental disorders (more control exclusions)	KRA_PSY_DEVWIDE_EXMORE
Mixed disorders of conduct and emotions (more control exclusions)	KRA_PSY_CODUCTEMOT_EXMORE
Social disorders starting during childhood or adolescence (more control exclusions)	KRA_PSY_CHILDSOC_EXMORE
Other disorders starting during childhood or adolescence (more control exclusions)	KRA_PSY_CHILDOTH_EXMORE
Behavioural disorders (more control exclusions)	KRA_PSY_BEHAV_EXMORE
Autism spe (more control exclusions)	KRA_PSY_AUTISM_EXMORE
Volvulus	K11_VOLVU
Supernumerary teeth EXCLUDE clefts and syndromes, including avohilmo	K11_SUPNUM_ONLY_INCLAVO
Supernumerary teeth EXCLUDE clefts and syndromes	K11_SUPNUM_ONLY
Scissor bite	K11_SCISS_BITE
Diseases of salivary glands	K11_SALIVARY
Pathological resorption of teeth	K11_RESORPTION
Peptic ulcer	K11_PULC
Postprocedural disorders of digestive system, not elsewhere classified	K11_POSTOPDIS
Diseases of peritoneum	K11_PERITON
Perforation of oesophagus	K11_PERFOES
Overjet	K11_OVERJET
Other diseases of intestine	K11_OTHINT
Other or unspecified ileus, impaction or obstruction	K11_OTHILEUS
Other gastritis (incl. Duodenitis)	K11_OTHGASTR
Other diseases of appendix	K11_OTHAPPEND
Other diseases of anus and rectum	K11_OTHANRECT
Oral leukoplakia and related diseases	K11_ORAL_LEUCOPLAC_RELAT
Oral leukoplakia	K11_ORAL_LEUCOPLACIA
Cysts of oral region, not elsewhere classified	K11_ORALCYST
Diseases of oral cavity, salivary glands and jaws	K11_ORAL
Ulcer of oesophagus	K11_OESULC
Oesophageal obstruction	K11_OESOBST
Oesophagitis, drug-induced	K11_OESITIS_ADVERSE
Oesophagitis	K11_OESITIS
Mandibular retrognathia AND surgery (BSSRO)	K11_MN_RETRGN_AND_SURG
Missing teeth due to accident, extraction or parodontitis	K11_MISS_TEETH_ACCID_EXTR_PAROD
Maxillary prognathism	K11_MAXIL_PROGN
Impacted maxillary molar	K11_MAXIL_MOLAR_FAILED_ERUPT_OBSTRUCTION_TOOTH
Palatinal maxillary canine	K11_MAXIL_CANINE_PALAT
Mandibular hypoplasia	K11_MANDIBULAR_HYPOPL
Major anomalies of jaw size	K11_MAJOR_ANOMALI_JAW_SIZE
Liver disorders in diseases classified elsewhere	K11_LIVDISINOTH
Intussusception	K11_INTUSS
Impacted teeth	K11_IMPACTED_TEETH
Impaction of intestines	K11_IMPACT
Hepatic failure, not elsewhere classified	K11_HEPFAIL
Gastric ulcer	K11_GULC
Gastrojejunal ulcer	K11_GJULC
Tooth eruption problems	K11_ERUPTION
Erosion of teeth, including avohilmo	K11_EROSION_INCLAVO
Embedded teeth, including avohilmo	K11_EMBED_TEETH
Distal bite	K11_DISTAL_BITE
Other disorders of teeth and supporting structures	K11_DISORD_TEETH
Crossbite	K11_CROSSBITE
Crohn's disease (strict) with PSC	K11_CD_STRICT_PSC
Excessive attrition of teeth	K11_ATTRITION
Intestinal adhesions without obstruction	K11_ADHE
Acute gastritis	K11_ACUTGASTR
Simple and mucopurulent chronic bronchitis	J10_SIMPLBRONCH
Respiratory conditions due to other external agents	J10_RESPCONDEXT
Pulmonary oedema	J10_PULMOEDEMA
Pneumonia due to Streptococcus pneumoniae	J10_PNEUMOPNEUMO
Pneumonia due to other infectious organisms, not elsewhere classified	J10_PNEUMONONBACT
Pneumonia due to Haemophilus influenzae	J10_PNEUMOHAEM
Other pleural conditions	J10_PLEUROTH
Pleural effusion	J10_PLEUREFFUSION
Acute pharyngitis	J10_PHARYNGITIS
Suppurative and necrotic conditions of lower respiratory tract	J10_NECROTIC
Hypersensitivity pneumonitis due to organic dust	J10_HYPERSPNEUMONI
Lung diseases due to external agents	J10_EXTERLUNG
Unspecified chronic bronchitis	J10_BRONCHNAS
Adult respiratory distress syndrome	J10_ARDS
Airway disease due to specific organic dust	J10_AIRWDISDUST
Abscess of mediastinum	J10_ABSCMEDIASTINUM
Abscess of lung	J10_ABSCLUNGPNEUMO
All influenza (not pneumonia)	INFLUENZA
Vascular syndromes of brain in cerebrovascular disorders	I9_VASCSYND
Varicose veins of other sites	I9_VARICVESOTH
Nonpyogenic thrombosis of intracranial venous system	I9_THROMBICV
Thromboangiitis obliterans	I9_THROMBANG
Occlusion and stenosis of arteries, not leading to stroke	I9_STENOSIS
Secondary right heart disease	I9_SECONDRIGHT
Rheumatic valve diseases	I9_RHEUVALV
Rheumatic heart disease, other	I9_RHEUOTHHRT
Rheumatic fever without mention of heart involvement	I9_RHEUFEVWITHOUTHEART
Rheumatic fever with heart involvement	I9_RHEUFEVHRT
Rheumatic fever incl heart disease	I9_RHEUFEV
Portal vein thrombosis	I9_PVT
Other diseases of pericardium	I9_PERICAOTH
Other peripheral vascular diseases	I9_OTHPER
Other other unspecified disorders of the circulatory system	I9_OTHOTH
Other intracranial haemorrhages	I9_OTHINTRACRA
Other or ill-defined heart diseases	I9_OTHILLHEART
Myocarditis	I9_MYOCARD
Complications following myocardial infarction	I9_MI_COMPLICATIONS
Hypertension, Pulmonary Arterial	I9_HYPTENSPUL
Hypertension, portal	I9_HYPTENSPOR
Hypotension	I9_HYPOTE
Hypertensive encephalopathy	I9_HYPERTENC
Endocarditis	I9_ENDOCARD
Embolism and thrombosis of abdominal aorta	I9_EMBTHROAOR
Dissection of cerebral arteries, nonruptured	I9_DISCER
Cerebral arteritis	I9_CEREBRART
Other specified cerebrovascular diseases, other cerebrovascular disorders in diseases classified elsewhere	I9_CEREBDOTH
Cerebral atherosclerosis	I9_CEREBATHER
Restrictive cardiomyopathy	I9_CARDMYORESTR
Alcoholic cardiomyopathy	I9_CARDMYOALC
Hypotension due to drugs	HYPOTE_DRUGS
Inguinal hernia, unilateral	HERING_UNILATERAL
Haemophilus septicemia	HAEMOPHIL_SEPTICHE
Vertigo of central origin	H8_VERTIGOCENT
Tympanosclerosis	H8_TYMPSCLE
Tinnitus	H8_TINNITUS
Suppurative otitis media, unspecified	H8_SUP_OTINAS
Acquired stenosis of external ear canal	H8_STENOEXTCAN
Other/unspecified postprocedural disorders of ear and mastoid process	H8_POSTOPNAS
Other disorders following mastoidectomy	H8_POSTMASTNAS
Polyp of middle ear	H8_POLYPMIDD
Noninfective disorders of pinna	H8_PINNADIS
Perichondritis of external ear	H8_PERCHRONDR
Otorrhagia	H8_OTORRHAGIA
Otitis media, unspecified	H8_OTIMEDNAS
Otalgia	H8_OTALGIA
Noise effects on inner ear	H8_NOISEINNER
Chronic myringitis	H8_MYRINGCHRON
Acute myringitis	H8_MYRINGACU
Other specified/unspecified disorders of middle ear and mastoid	H8_MIDDMASTNAS
Adhesive middle ear disease	H8_MIDDLEADDH
Other/unspecified mastoiditis and related conditions	H8_MASTNAS
Chronic mastoiditis	H8_MASTCHRON
Acute mastoiditis	H8_MASTACU
Labyrinthitis	H8_LABYRINTHITIS
Labyrinthine fistula	H8_LABYRFISTU
Other specified/unspecified diseases of inner ear	H8_INNERNAS
Ototoxic hearing loss	H8_HL_OTOTOX
Other specified/unspecified hearing loss	H8_HL_NAS
Conductive hearing loss, unspecified	H8_HL_CON_NAS
Malignant otitis externa	H8_EXT_MALIGN
Cholesteatoma of external ear	H8_EXT_CHOL
Disorder of external ear, unspecified	H8_EXTDISINOTH
Other specified/unspecified disorders of ear	H8_EARNAS
Discontinuity and dislocation of ear ossicles	H8_DISCON
Chronic suppurative otitis media	H8_CHRON_SUPOTITIS
Impacted cerumen	H8_CERUMEN
Other abnormal auditory perceptions	H8_ABNAUDPER
Vitreous prolapse	H7_VITRPROLAPSE
Other vitreous opacities	H7_VITROPACIT
Crystalline deposits in vitreous body	H7_VITRCRYSTAL
Disorder of visual pathways, unspecified	H7_VISUALPATHNAS
Other and unspecified visual disturbances	H7_VISDISTNAS
Vertical strabismus	H7_VERTISTRAB
Mechanical strabismus	H7_STRABMECH
Other retinal disorders in diseases classified elsewhere	H7_RETINODISINOTH
Other specified and unspecified retinal disorders	H7_RETINANAS
Transient retinal artery occlusion	H7_RETARTOCCTRANS
Disorders of refraction and accommodation	H7_REFRAACCOMMODIS
Other proliferative retinopathy	H7_PROLIFRETINOPATHOTH
Other and unspecified postprocedural disorders of eye and adnexa	H7_POSTOPEYENAS
Other or unspecified paralytic strabismus	H7_PARASTRANAS
Sixth [abducent] nerve palsy	H7_PARASTRA6
Papilloedema, unspecified	H7_PAPILLOEDEMA
Other disorders of conjunctiva	H7_OTHERCONJ
Other endophthalmitis	H7_OTHENDOPHTHALMITIS
Other and unspecified disorders of orbit	H7_ORBITNAS
Chronic inflammatory disorders of orbit	H7_ORBITINFLAMCHRON
Acute inflammation of orbit	H7_ORBITINFLAMACU
Disorders of optic nerve, not elsewhere classified	H7_OPTNERVNAS
Other disorders of optic disc	H7_OPTICDISCOTH
Optic atrophy	H7_OPTATROPHY
Mild or no visual impairment, binocular	H7_MILDVISIMPBINOC
Inflammation of lacrimal passages (chronic)	H7_LACRIMINFLAMCHRON
Keratitis and keratoconjunctivitis in other diseases classified elsewhere	H7_KERATITISINOTH
Other specified and unspecified disorders of iris and ciliary body	H7_IRISCILIARYNAS
Lens-induced iridocyclitis	H7_IRIDOLENS
Intermittent heterotropia	H7_INTERHETEROTRO
Hordeolum and other deep inflammation of eyelid	H7_HORDEOLUM
Herpesviral keratitis and keratoconjunctivitis	H7_HERPESKERATITIS
Other and unspecified disorders of globe	H7_GLOBENAS
Degenerative conditions of globe	H7_GLOBEDEGENERATED
Disorders of globe	H7_GLOBE
Glaucoma secondary to eye trauma	H7_GLAUCSECTRAUMA
Glaucoma secondary to drugs	H7_GLAUCSECDRUG
Juvenile Open Angle Glaucoma	H7_GLAUCOMA_JOAG
Postprocedural disorders of eye and adnexa, not elsewhere classified	H7_EYEPOSTOP
Other specified and unspecified  disorders of eyelid	H7_EYELIDNAS
Disorders of eyelid in diseases classified elsewhere	H7_EYELIDINOTH
Other inflammation of eyelid	H7_EYELIDINFLAMMATION
Other disorders affecting eyelid function	H7_EYELIDFUNC
Other degenerative disorders of eyelid and periocular area	H7_EYELIDDEGEN
Other specified and unspecified disorders of eye and adnexa	H7_EYEADNEXOTH
Diplopia	H7_DIPLOPIA
Dacryoadenitis	H7_DACRYOADENITIS
Cyst of iris, ciliary body and anterior chamber	H7_CYSTIRIS
Corneal pigmentations and deposits	H7_CORNEAPIGMENT
Corneal scars and opacities	H7_CORNEALSCAR
Changes in corneal membranes	H7_CORNEALMEMBRANE
Convergent concomitant strabismus	H7_CONVERSTRAB
Convergence insufficiency and excess	H7_CONVERGINSUFF
Other conjunctival vascular disorders and cysts	H7_CONJUVASC
conjunctival scars	H7_CONJUNCTSCAR
Atopic conjunctivitis	H7_CONJUNCTIVITISATOPIC
Conjunctivitis (acute, non atopic)	H7_CONJUNCTIVITISACUNONATOPIC
conjunctival degenerations and deposits	H7_CONJUNCTDEGDEPOT
Other specified and unspecified disorders of conjunctiva	H7_CONJUNAS
conjunctival haemorrhage	H7_CONJUHAEMOR
Chorioretinal scars	H7_CHORSCAR
Other specified and unspecified disorders of choroid	H7_CHORNAS
Choroidal haemorrhage and rupture	H7_CHORHAEMORRHAGE
Choroidal detachment	H7_CHORDETACH
Blindness, monocular	H7_BLINDMONOCULAR
Other disorders of binocular movement	H7_BINOCUMOVOTH
Other and unspecified disorders of binocular movement	H7_BINOCUMOVNAS
Background retinopathy and retinal vascular changes	H7_BCKRNDRETINOPAT
Astigmatism	H7_ASTIGMATISM
Anomalies of pupillary function	H7_ANOMAPUPFUNC
Pupillary membranes and other adhesions and disruptions of iris and ciliary body	H7_ADHESIOIRIS
Other secondary gout	GOUT_SCND
Gout due to impairment of renal function	GOUT_KIDNEY
Generalized epilepsy, strict definition	GE_STRICT
Gastric ulcer - Acute with haemorrhage, drug-induced	GASTRIC_ULCER_ACUTE_W_HAEMORRHAGE
Lesion of ulnar nerve	G6_ULLNLE
Trigeminal neuralgia	G6_TRINEU
Thoracic root disorders	G6_THROOT
Tetraplegia	G6_TETRAPLE
Tarsal tunnel syndrome	G6_TARSTUN
Other diseases of spinal cord	G6_SPINOTH
Other sleep disorders	G6_SLEEPDISOTH
Lesion of radial nerve	G6_RADLES
Postviral fatigue syndrome	G6_POSTVIRFAT
Postpolio syndrome	G6_POSTPOLIO
Postprocedural disorders of nervous system	G6_POSTOPNEURO
Phantom limb syndrome	G6_PHANTOM
Paraplegia, diplegia of upper limbs	G6_PARDIPLE
Other and unspecified paralytic syndromes	G6_PARALOTHUNS
Other disorders of nervous system	G6_NEUROOTH
Sequelae of inflammatory diseases of the central nervous system	G6_NEUROINFSEQ
Neuralgic amyotrophy	G6_NEURAMYO
Other and unspecified myoneural disorders	G6_MYONEUOTHUNS
Myasthenia gravis, drug-induced	G6_MYASTHENIA_ADVERSE
Myasthenia gravis	G6_MYASTHENIA
Monoplegia	G6_MONOPLE
Other and unspecified mononeuropathies of upper limb	G6_MONONPOTHUS
Other and unspecified mononeuropathies of lower limb	G6_MONOLOWOTHUNS
Mononeuritis multiplex	G6_MONNEURMPLX
Migraine with aura, drug-induced	G6_MIGRAINE_WITH_AURA_ADVERSE
Meralgia paraesthetica	G6_MERALGIA
Other meningitis	G6_MENINGOTH
Bacterial meningitis	G6_MENINGBACT
Other lesions of median nerve	G6_MEDLEOTH
Lumbosacral root disorders, not elsewhere classified	G6_LSROOT
Idiopathic progressive neuropathy	G6_IPNEUROP
Inflammatory myopathy	G6_INFLAMYOP
Idiopathic peripheral autonomic neuropathy	G6_IDIOAUT
Intercostal neuropathy	G6_ICNEUROP
Horner syndrome	G6_HORNER
Other and unspecified neuropathies	G6_HERIPOTHUN
Hemiplegia	G6_HEMIPLE
Post-traumatic hydrocephalus, unspecified	G6_HCPOSTRAU
Other and unspecified hydrocephalus	G6_HCOTHUNS
Obstructive hydrocephalus	G6_HCOBSTR
Hydrocephalus in other diseases	G6_HCINOTH
Communicating hydrocephalus	G6_HCCOMM
Lesion of medial popliteal nerve	G6_FEMMEPOP
Lesion of femoral nerve	G6_FEMLE
Lesion of lateral popliteal nerve	G6_FEMLAPOP
Other encephalitis	G6_ENCEPHOTH
Encephalopathy	G6_ENCEPATH
Drug-induced polyneuropathy	G6_DRUGPOLY
Disorders of other and unspecified cranial nerves	G6_DISOTHUNS
Disorders of glossopharyngeal nerve	G6_DISGLO
Disorders of brain, other and unspecified	G6_DISBROTHUNS
Senile degeneration of the brain, not elsewhere classified	G6_DEGENSEN
Other cranial nerve disorders in other disorders	G6_CRAINOTH
Cerebral palsy and other paralytic syndromes	G6_CPETAL
Cerebral palsy	G6_CP
Congenital myopathies	G6_CONMYOP
Other disorders of central nervous system	G6_CNSOTH
Intracranial and intraspinal abscess and granuloma	G6_CNSABSC
Cluster headache, wide	G6_CLUSTHEADACHE_WIDE
Cluster headache, strict, including avohilmo	G6_CLUSTHEADACHE_STRICT_INCLAVO
Cervical root disorders	G6_CERVROOT
Cerebral oedema	G6_CEROEDEMA
Cerebral cysts	G6_CERCYST
Cauda equina syndrome	G6_CAUDA
Brachial plexus disorders	G6_BRACHPLE
Benign intracranial hypertension	G6_BENINTRAHYP
Other degenerative diseases of the basal ganglia	G6_BASDEGENOTH
Autonomic disorders	G6_AUTONOM
Atypical facial pain	G6_ATYFAC
Anoxic brain damage	G6_ANOXBRAINDAM
Alcohol induced polyneuropathy	G6_ALCOPOLY
Acute disseminated encephalitis/encephalomyelitis	G6_ADEM
Food allergy	FOOD_ALLERGY
Fibrosis of liver	FIBROLIV
Focal epilepsy, strict definition	FE_STRICT
Focal epilepsy, mode (most common among epilepsy diagnosis)	FE_MODE
Focal epilepsy	FE
Unspecified organic or symptomatic mental disorder	F5_UNSORG
Somatoform disorder	F5_SOMATOFORM
Mental and behavioural disorders due to use of volatile solvents	F5_SOLVENT
Social phobias	F5_SOCPHOB
Sleep disorders, other/unspecified	F5_SLEEP_NOS
Sleepwalking [somnambulism]	F5_SLEEPWALKING
Disorder of the sleep-wake schedule	F5_SLEEPWAKE
Sleep terrors [night terrors]	F5_SLEEPTERRORS
Physiological and behavioural disorders associated with sexual development and orientation	F5_SEXUAL
Sexual dysfunction	F5_SEXDYS
Severe mental retardation	F5_SEVRET
Mental and behavioural disorders due to sedatives or hypnotics	F5_SEDAHYP
Schizophrenia	F5_SCHZPHR
Specific development disorders of scholastic skills	F5_SCHOLA
Schizoid personality disorder	F5_SCHIZPER
Schizotypal disorder	F5_SCHIZOTYP
Schizoaffective disorder	F5_SCHIZOAFF
Post-traumatic stress disorder	F5_PTSD
Acute and transient psychotic disorders	F5_PSYTRANS
Other and unspecified nonorganic psychotic disorders	F5_PSYCHOTH
Disorders of psychological development	F5_PSYCHDEV
Phobic anxiety disorders	F5_PHOBANX
Pervasive developmental disorders excl. Autism + Asperger	F5_PERVASIVE
Other and unspecified disorders of adult personality and behaviour	F5_PERSOTH
Persistent mood disorders	F5_PERSMOOD
Panic disorder	F5_PANIC
Other and unspecified mental retardation	F5_OTHRET
Other specified and unspecified personality disorders	F5_OTHPER
Mental and behavioural disorders due to opioids	F5_OPIOIDS
Obsessive-compulsive disorder	F5_OCD
Nightmares	F5_NIGHTMARES
Other and unspecified mood [affective] disorders	F5_MOODOTH
Mixed specific developmental disorders	F5_MIXEDDEV
Mental disorders, not otherwise specified	F5_MENTALUNSPE
Manic episode	F5_MANIA
Kela-code for behavioural disturbances in mental retardation	F5_KELARET
Hyperkinetic disorders (excl. ADHD)	F5_HYPERKIN
Histrionic personality disorder	F5_HISPER
Mental and behavioural disorders due to hallucinogens	F5_HALLUCIN
Gender identity disorders	F5_GENDER
Other eating disorders	F5_EATOTH
Dissocial personality disorder	F5_DISPER
Psychotic depression	F5_DEPRESSION_PSYCHOTIC
Dependent personality disorder	F5_DEPPER
Mental and behavioural disorders due to cocaine	F5_COCAINE
Bulimia nervosa (incl. atypical)	F5_BULIMIA
Behavioural and emotional disorders with onset usually occurring in childhood and adolescence	F5_BEHEMOCHILD
Behavioural syndromes associated with physiological disturbances and physical factors	F5_BEHAVE
Anxious personality disorder	F5_ANXPER
Agoraphobia	F5_AGORAPHOBIA
Eosinophilic disease (BM)	ESOSINOPHIL_DISEASE
Epileptic seizures related to alcohol	EPISEIZALCO
Epileptic seizures related to drugs	EPILEPTIC_SEIZU_RELATED_DRUGS
Enteropathogenic Escherichia coli infection	ENTEROPATH_E_COLI
Enterohaemorrhagic Escherichia coli infection	EHEC
Volume depletion	E4_VOLUME
Thyrotoxicosis factitia	E4_THYTOXFAC
Disorder of thyroid, unspecified	E4_THYROIDNASOTH
Drug-induced thyroiditis	E4_THYROIDITDRUG
Acute thyroiditis	E4_THYROIDITACU
Disease of thymus, other/unspecified	E4_THYMUSDISNAS
Diseases of thymus	E4_THYMUSDIS
Thyroid crisis or storm	E4_THYCRISIS
Thiamine deficiency	E4_THIA_DEF
Testicular hypofunction	E4_TESTICHYPO
Testicular dysfunction, other/unspecified	E4_TESTICDYSNAS
Sequelae of malnutrition and other nutritional deficiencies	E4_SEQUMAL
Disorders of puberty, other/unspecified	E4_PUBDISNAS
Unspecified severe protein-energy malnutrition	E4_PROTMALSEVERNAS
Protein-energy malnutrition of moderate and mild degree	E4_PROTMALMODMILD
Precocious puberty	E4_PREPUB
Precocious central puberty	E4_PRECOXCENTPUB
Other porphyria	E4_PORPHYNAS
Disorder of pancreatic internal secretion, other and/or unspecified	E4_PANCSECNAS
Primary ovarian failure	E4_OVARFAIL
Ovarian dysfunction: androgen excess	E4_ODANDRO
Drug-induced obesity	E4_OBESITYDRUG
Disorders of magnesium metabolism	E4_MG_MET
Magnesium deficiency	E4_MG_DEF
Nutritional marasmus	E4_MARASMUS
Marasmic kwashiorkor	E4_MARAKWASH
Malnutrition	E4_MALNUTRITION
Localized adiposity	E4_LOCALADIP
Lipomatosis, not elsewhere classified	E4_LIPOMATOSIS
Lipodystrophy, not elsewhere classified	E4_LIPODYST
Lipoprotein deficiency	E4_LIPODEF
Kwashiorkor	E4_KWASHIORKOR
Hypothyroidism, autoimmune, DX-based	E4_HYTHY_AI_DX
Hypothyroidism due to medicaments and other exogenous substances	E4_HYTHYSUBS
Hypothalamic dysfunction, including iatrogenic, not elsewhere classified	E4_HYPOTHALDYSF
Hypopituitarism	E4_HYPOPIT
Hyperuricaemia without signs of inflammatory arthritis and tophaceous disease	E4_HYPERURI
Hyperprolactinaemia, drug-induced	E4_HYPERPRO_ADVERSE
Hyperprolactinaemia	E4_HYPERPRO
Hyperfunction of pituitary gland, other and/or unspecified	E4_HYPERPITNAS
Hyperfunction of pituitary gland	E4_HYPERPIT
Hyperosmolality and hypernatraemia	E4_HYPEROSMHNAT
Hyperkalaemia	E4_HYPERKALAEMIA
Hyperchylomicronaemia	E4_HYPERCHYLO
Sequelae of hyperalimentation	E4_HYPERALISEQ
Other hyperalimentation	E4_HYPERALI
Fluid overload	E4_FLUIDOVER
Other disorders of electrolyte and fluid balance, not elsewhere classified	E4_FLUIDELECTRONAS
Endocrine disorders, other/unspecified	E4_ENDODISNAS
Disorders of endocrine glands in diseases classified elsewhere	E4_ENDINOTH
Diabetes insipidus	E4_DIABINSIPIDUS
Delayed puberty	E4_DELPUB
Disorder of carbohydrate metabolism, other/unspecified	E4_CARBONAS
Atrophy of thyroid (acquired)	E4_ATROTHY
Secondary systemic amyloidosis	E4_AMYL_SCNDSYST
Disorders of amino-acid transport	E4_AMINOTRANSPORT
Alkalosis	E4_ALKALOSIS
Disorders of adrenal gland, other and/or unspecified	E4_ADRENAS
Adrenomedullary hyperfunction	E4_ADREMEDHYPER
Acromegaly and pituitary gigantism	E4_ACROMEG
Acidosis	E4_ACIDOSIS
Duodenal ulcer - Unspecified as acute or chronic, without haemorrhage or perforation, drug-induced	DUODENAL_ULCER_UNSPE_ACUTE_CHRONIC_WO_HAEMORRHAGE_PERFORATION
Duodenal ulcer - Acute with haemorrhage, drug-induced	DUODENAL_ULCER_ACUTE_W_HAEMORRHAGE
Drug-induced tremor	DRUGADVERS_TREMOR
Drug-induced osteoporosis	DRUGADVERS_OSTEOPO
Drug-induced interstitial lung disorders, unspecified	DRUGADVERS_INTERSTITIAL_LUNG_DISORD_UNSPE
Drug-induced headache, not elsewhere classified	DRUGADVERS_HEADA_NOT_ELSEW_CLASSIFIED
Drug-induced gout	DRUGADVERS_GOUT
Drug-induced dystonia	DRUGADVERS_DYSTON
Drug-induced aplastic anaemia	DRUGADVERS_APLAST_ANAEM
Drug-induced adrenocortical insufficiency	DRUGADVERS_ADRENOCORTICAL_INSUFFICIENCY
Drug-induced acute pancreatitis	DRUGADVERS_ACUTE_PANCREATIT
Other and unspecified disorders of white blood cells	D3_WHITEBLOODCELLNAS
Thrombocytopenia, unspecified	D3_THROMBOCYTOPENIANAS
Other and unspecified diseases of spleen	D3_SPLEENNAS
Diseases of spleen	D3_SPLEENDISEASE
Secondary sideroblastic anaemia	D3_SIDEROANASCND
Other sideroblastic anaemias	D3_SIDEROANAMIEAOTHER
Hereditary sideroblastic anaemia	D3_SIDEROANAEMIAHERED
Sickle-cell disorders	D3_SICKLECELLDIS
Secondary thrombocytopenia	D3_SCNDTHROMBOCYTOPENIA
Secondary polycythaemia	D3_SCNDPOLYCYTHAEMIA
Severe combined immunodeficiency [SCID] with reticular dysgenesis	D3_SCIDA
Qualitative platelet defects	D3_QUALIPATELETDEF
Purpura and other haemorrhagic conditions	D3_PURPURA_AND3_OTHER_HAEMORRHAGIC
Other disorders of white blood cells	D3_OTHERWHITECELL
Other specified diseases with participation of lymphoreticular and reticulohistiocytic tissue	D3_OTHDISLYMPHORETANDRETICULOHIST
Other nutritional anaemias	D3_NUTRIANAEMIAOTHER
Nonhereditary hypogammaglobulinemia	D3_NONHEREDHYPOGAMMA
Other nonautoimmune haemolytic anaemias	D3_NOCT_HAEMOGLOBINURIA
Kela reimbursement Agammaglobulinemia (D80-84)	D3_KELA_IMMUDEF
Idiopathic thrombocytopenic purpura	D3_ITP
Infarction of spleen	D3_INFARCTSPLEEN
Immunodeficiency associated with other major defects	D3_IMMUDEFWITHMAJORDEF
Other or unspecified immunodeficiency	D3_IMMUDEFNAS
Other and unspecified immunodeficiencies with predominantly antibody defects	D3_IMMUDEFANTIBODYNAS
Immunodeficiencies	D3_IMMUDEF
Hypersplenism	D3_HYPERSPLENISM
Hereditary factor VIII deficiency	D3_HEREDFVIIIDEF
Haemorrhagic disorder due to circulating anticoagulants	D3_HAEMORRHAGCIRGUANTICO
Haemolytic anaemias	D3_HAEMOLYTICANAEMIA
Familial erythrocytosis	D3_FAMIERYTHROCYTOCIS
Disseminated intravascular coagulation [defibrination syndrome]	D3_DISSEINTRAVASCCOAG
Cyst of spleen	D3_CYSTSPLEEN
Common variable immunodeficiency with predominant abnormalities of B-cell numbers and function	D3_CVID_BCELL
Other or unspecified common variable immunodeficiency	D3_CVIDNAS
Cryoglobulinemia	D3_CRYOGLOBU
Combined immunodeficiencies	D3_COMBIMMUDEF
Other and unspecified diseases of blood and blood-forming organs	D3_BLOODNAS
Folate deficiency anaemia	D3_ANAEMIA_FOLATEDEF
Anaemia in chronic diseases classified elsewhere	D3_ANAEMIAINCHRONICDISEASE
Other autoimmune haemolytic anaemias	D3_AIHA_OTHER
Acquired pure red cell aplasia [erythroblastopenia]	D3_ACQPUREREDCLLAPLASIA
Other and unspecified acquired haemolytic anaemias	D3_ACQHAEMOLYTICANAEMIANAS
Acquired coagulation factor deficiency	D3_ACQCOAFACDEF
Pseudopolyposis of colon	COLONPSEUDOP
Cytomegaloviral pneumonitis	CMV_PNEUMONIA
Other/unspecified crystal arthropathies	CHRYSTAL_NOS
Chronic drug-induced interstitial lung disorders	CHRONIC_DRUGADVERS_INTERSTITIAL_LUNG_DISORD
